cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles
4096,32,2,1,1,0.371203,10538565
4096,32,2,1,0,0.423755,11106941
4096,32,2,0,1,0.371203,12770265
4096,32,2,0,0,0.423755,13361241
4096,32,4,1,1,0.365649,10391857
4096,32,4,1,0,0.417624,10950867
4096,32,4,0,1,0.365649,12647757
4096,32,4,0,0,0.417624,13238767
4096,32,8,1,1,0.364841,10368245
4096,32,8,1,0,0.416678,10924487
4096,32,8,0,1,0.364841,12628345
4096,32,8,0,0,0.416678,13218487
4096,32,16,1,1,0.364875,10376537
4096,32,16,1,0,0.417237,10943457
4096,32,16,0,1,0.364875,12623937
4096,32,16,0,0,0.417237,13217657
4096,32,32,1,1,0.365056,10390095
4096,32,32,1,0,0.417568,10955380
4096,32,32,0,1,0.365056,12621995
4096,32,32,0,0,0.417568,13218580
4096,64,2,1,1,0.303954,8772408
4096,64,2,1,0,0.353698,9449937
4096,64,2,0,1,0.303954,11459308
4096,64,2,0,0,0.353698,11909937
4096,64,4,1,1,0.300287,8677361
4096,64,4,1,0,0.349098,9337607
4096,64,4,0,1,0.300287,11387661
4096,64,4,0,0,0.349098,11831407
4096,64,8,1,1,0.29858,8634758
4096,64,8,1,0,0.346901,9287918
4096,64,8,0,1,0.29858,11349858
4096,64,8,0,0,0.346901,11791418
4096,64,16,1,1,0.298786,8646510
4096,64,16,1,0,0.347503,9307178
4096,64,16,0,1,0.298786,11349210
4096,64,16,0,0,0.347503,11796178
4096,64,32,1,1,0.29867,8650537
4096,64,32,1,0,0.347851,9320097
4096,64,32,0,1,0.29867,11341337
4096,64,32,0,0,0.347851,11794697
4096,128,2,1,1,0.270847,7878309
4096,128,2,1,0,0.322981,8706982
4096,128,2,0,1,0.270847,10803409
4096,128,2,0,0,0.322981,11202482
4096,128,4,1,1,0.264476,7714591
4096,128,4,1,0,0.31367,8481948
4096,128,4,0,1,0.264476,10688991
4096,128,4,0,0,0.31367,11067948
4096,128,8,1,1,0.263044,7677224
4096,128,8,1,0,0.311383,8427580
4096,128,8,0,1,0.263044,10663824
4096,128,8,0,0,0.311383,11036980
4096,128,16,1,1,0.262571,7671034
4096,128,16,1,0,0.311374,8432282
4096,128,16,0,1,0.262571,10647634
4096,128,16,0,0,0.311374,11023882
4096,128,32,1,1,0.262503,7673450
4096,128,32,1,0,0.311529,8439846
4096,128,32,0,1,0.262503,10645050
4096,128,32,0,0,0.311529,11025146
4096,256,2,1,1,0.261402,7470506
4096,256,2,1,0,0.325049,8710501
4096,256,2,0,1,0.261402,10688106
4096,256,2,0,0,0.325049,11099901
4096,256,4,1,1,0.249967,7178566
4096,256,4,1,0,0.309439,8339232
4096,256,4,0,1,0.249967,10474566
4096,256,4,0,0,0.309439,10858732
4096,256,8,1,1,0.245848,7077624
4096,256,8,1,0,0.301753,8158120
4096,256,8,0,1,0.245848,10406524
4096,256,8,0,0,0.301753,10763920
4096,256,16,1,1,0.24424,7042098
4096,256,16,1,0,0.299173,8101420
4096,256,16,0,1,0.24424,10380798
4096,256,16,0,0,0.299173,10729820
16384,32,2,1,1,0.290193,8304309
16384,32,2,1,0,0.326283,8600414
16384,32,2,0,1,0.290193,11157709
16384,32,2,0,0,0.326283,11577914
16384,32,4,1,1,0.29131,8348349
16384,32,4,1,0,0.327568,8642315
16384,32,4,0,1,0.29131,11173349
